Position (mm),Force (N)
1.509625,-50
1.510184524,189.8125
1.508494048,-40.375
1.503303571,-55.5625
1.507488095,-23.25
1.512172619,-110.9375
1.489982143,226.375
1.492666667,148.6875
1.49922619,153.5
1.503660714,225.8125
1.507595238,90.625
1.506654762,212.9375
1.499589286,250.25
1.49889881,32.5625
1.494708333,159.875
1.501142857,-32.8125
1.506077381,402
1.496261905,109.3125
1.498446429,386.625
1.498630952,251.4375
1.511440476,-1.25
1.513375,33.5625
1.488934524,110.875
1.491744048,90.6875
1.513803571,73
1.496988095,382.8125
1.502297619,72.625
1.499357143,362.4375
1.500666667,322.25
1.49447619,49.5625
1.489660714,404.375
1.496845238,151.6875
1.496904762,124
1.501339286,523.8125
1.49739881,153.625
1.499958333,95.9375
1.505142857,258.25
1.498202381,430.5625
1.495011905,380.375
1.509696429,342.6875
1.500755952,172.5
1.505815476,244.8125
1.50925,407.125
1.492559524,644.4375
1.496994048,651.75
1.498928571,209.0625
1.494238095,598.875
1.511672619,288.6875
1.513857143,291
1.515291667,320.8125
1.50147619,240.625
1.508035714,735.4375
1.513845238,325.25
1.499904762,597.5625
1.502089286,442.375
1.49277381,557.1875
1.506833333,327
1.510142857,369.3125
1.508202381,576.625
1.515386905,791.4375
1.512571429,608.75
1.502255952,626.0625
1.514190476,748.375
1.4985,840.6875
1.507434524,595.5
1.506994048,825.3125
1.491553571,782.625
1.510738095,702.4375
1.504047619,529.75
1.492357143,679.5625
1.504416667,841.875
1.50197619,624.1875
1.503785714,499
1.502095238,901.3125
1.502404762,948.625
1.504339286,753.4375
1.49389881,558.25
1.504958333,885.5625
1.516517857,542.875
1.492202381,970.1875
1.508386905,772.5
1.515821429,689.8125
1.499130952,862.125
1.504565476,1036.9375
1.496875,649.25
1.511559524,954.0625
1.500744048,631.375
1.497178572,926.1875
1.506363095,1053.5
1.498672619,720.8125
1.508232143,740.625
1.498791667,777.9375
1.496226191,670.25
1.502285714,1055.0625
1.512845238,952.375
1.493404762,994.6875
1.509089286,942
1.50589881,864.3125
1.497333334,829.125
1.497267857,993.9375
1.505452381,1196.25
1.498511905,1118.5625
1.517321429,978.375
1.494380953,1065.6875
1.499940477,813
1.514125,1095.3125
1.502059524,1270.125
1.510244048,819.9375
1.509303572,1194.75
1.497988096,1039.5625
1.50054762,1259.375
1.515857143,1054.1875
1.516291667,899
1.503101191,1278.8125
1.512535715,1098.625
1.502845239,1373.4375
1.497529763,973.25
1.510089287,1098.0625
1.50477381,1047.875
1.496208334,935.1875
1.498767858,1047.5
1.510202382,1054.8125
1.511136906,1354.625
1.50182143,1129.4375
1.498880954,1309.25
1.495440478,1341.5625
1.517625001,1133.875
1.506059525,1356.1875
1.509494049,1201
1.509803573,1055.8125
1.518238097,1460.625
1.507297621,1055.4375
1.495732145,1370.25
1.516166669,1122.5625
1.512226193,1507.375
1.514160717,1282.1875
1.508220241,1159.5
1.512654765,1464.3125
1.497339289,1161.625
1.518398813,1476.4375
1.517333337,1573.75
1.509267861,1608.5625
1.504202385,1415.875
1.504136909,1638.1875
1.501696433,1378
1.501255957,1515.3125
1.519690481,1577.625
1.512875005,1349.9375
1.499559529,1649.75
1.498744053,1274.5625
1.516928577,1696.875
1.502738101,1634.1875
1.512297626,1444
1.50585715,1676.3125
1.507291674,1361.125
1.516226198,1418.4375
1.499410722,1520.75
1.502845247,1698.0625
1.500404771,1605.375
1.512839295,1385.1875
1.506273819,1597.5
1.510708344,1789.8125
1.520892868,1694.625
1.506327392,1579.4375
1.503886917,1759.25
1.502071441,1396.5625
1.511005966,1426.375
1.50694049,1488.6875
1.502625015,1581
1.516684539,1815.8125
1.517369064,1485.625
1.504553588,1707.9375
1.507988113,1705.25
1.505547637,1885.0625
1.509482162,1457.375
1.521791687,1864.6875
1.502351212,1602
1.513785736,1706.8125
1.505345261,1689.125
1.513404786,1873.9375
1.502089311,1613.75
1.506523836,2023.5625
1.501458361,1605.875
1.509142886,1935.6875
1.515452411,1795.5
1.503761936,1685.3125
1.522321462,1695.125
1.508005987,1612.4375
1.504315512,1797.25
1.508125037,1752.0625
1.503684563,1919.375
1.506619088,1834.1875
1.518803614,2074
1.508988139,2116.3125
1.516172665,1726.125
1.502107191,2058.4375
1.504416717,2040.75
1.520726243,2165.5625
1.501410769,2180.375
1.504220295,2100.1875
1.512029821,1950
1.499839347,2084.8125
1.505773873,2099.625
